amfi_code,scheme_name,beta,daily_alpha_intercept,annualized_alpha,r_squared,p_value
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.0582684314388089,0.00014871352235886037,0.03747580763443281,0.002665032698133324,0.08026442483699606
100025,HDFC Short Term Debt Fund - Regular - Growth,0.0011582183155281463,0.00016991238220262253,0.042817920315060876,1.4612842041845034e-05,0.8970124515162724
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.0051035258305283104,0.0010791807341779893,0.2719535450128533,1.2066520635068168e-05,0.9063691402409378
101206,ABSL Frontline Equity Fund - Regular - Growth,0.02108631625012803,0.0008491978085734608,0.21399784776051212,0.0003480482030714251,0.5275509209180677
101207,ABSL Small Cap Fund - Regular - Growth,-0.06528924788351524,0.00043242428181367216,0.10897091901704538,0.0010641052735572622,0.26923382859979966
101208,ABSL Liquid Fund - Regular - Growth,0.00026670968338238433,0.00024151372205504423,0.060861457957871144,4.6076236771052326e-05,0.8182140691419647
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.019486785689474526,0.0006765379683893927,0.17048756803412696,0.00038285030730923834,0.5075948866942019
102886,UTI Mid Cap Fund - Regular - Growth,-0.04212502902189432,0.00011495792804118827,0.028969397866379445,0.0008964294600687582,0.31057770814660424
102887,UTI Flexi Cap Fund - Regular - Growth,0.016682689437770827,0.0006433038410330657,0.16211256794033255,0.00018619166432850165,0.6440466770890053
118632,Nippon India Large Cap Fund - Regular - Growth,-0.008353832126962021,0.0008662459485955811,0.21829397904608644,5.7917562701278335e-05,0.7966457465470185
118633,Nippon India Large Cap Fund - Direct - Growth,-0.03663900671860934,0.0006207871408003836,0.15643835948169668,0.0011382947171084282,0.2531567885063235
118634,Nippon India Small Cap Fund - Regular - Growth,0.1034966369133759,0.0006944730823655265,0.1750072167561127,0.0027930065610663243,0.07333892285784303
118635,Nippon India ETF Nifty 50 BeES,-0.001433521389780133,0.0006006489939777476,0.1513635464823924,2.0253408972328425e-06,0.9615666405413444
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.0012566742731558458,0.00020137988095143272,0.05074772999976104,1.651665231033275e-05,0.8905486864137591
119092,Axis Bluechip Fund - Regular - Growth,0.009730745001153637,0.00027379086593958533,0.0689952982167755,8.082637693810774e-05,0.7608083592013819
119093,Axis Bluechip Fund - Direct - Growth,0.02588321244009315,0.00032669846409611483,0.08232801295222093,0.0005692038090244872,0.4191212046285577
119094,Axis Midcap Fund - Regular - Growth,-0.06626542862803757,0.0010347884555572313,0.2607666908004223,0.001936878936960232,0.13598752352498472
119095,Axis Small Cap Fund - Regular - Growth,-0.066951174639292,0.00019053949856253792,0.048015953637759554,0.0011851593464486715,0.24360834209000354
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.006413850728276477,0.00022305139748564958,0.05620895216638369,0.00043426033217200524,0.48038566300028673
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.03175144113890972,0.000920674887326789,0.23201007160635082,0.0008869788879322809,0.3131430272308455
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.026159307513513405,0.0007884364828120222,0.1986859936686296,0.0005850821704543426,0.4127055818020542
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.023196062044059693,0.0012038478328167985,0.3033696538698332,0.0001414257550272171,0.6871791461096047
119599,SBI Small Cap Fund - Direct Plan - Growth,0.06200180438267168,0.00019374688867277717,0.048824215945539845,0.0010259205326765965,0.27800396233826213
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.0402689523698206,0.0007025119986446061,0.17703302365844073,0.001397444608331861,0.2054374518341153
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.016232169761417007,0.0008410645640287988,0.2119482701352573,0.00021216129075887457,0.6218551541356455
120505,ICICI Pru Midcap Fund - Regular - Growth,0.000549004250631712,0.0011612533072123436,0.2926358334175106,1.3455341675668847e-07,0.990090235690614
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.04189646272811977,0.0006449941777770254,0.1625385327998104,0.0012571178108220743,0.22978488107543119
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.0004440926329707234,0.0002677067623452198,0.06746210411099539,0.00013430661440679868,0.6947484438507016
120841,Kotak Bluechip Fund - Regular - Growth,0.036356399022199795,0.000517576367091486,0.13042924450705445,0.0012113711061211869,0.23845930871566381
120842,Kotak Emerging Equity Fund - Regular - Growth,0.01805687420811816,0.00030969995540297936,0.0780443887615508,0.0001691554883831436,0.6596465767530766
120843,Kotak Flexicap Fund - Regular - Growth,-0.02282956979242654,0.0010845422634248435,0.27330465038306057,0.00034305434271514465,0.5305284121437438
120844,Kotak Liquid Fund - Regular - Growth,-0.00040074423947840013,0.00025617767838793644,0.06455677495375998,0.00010125435692271723,0.7333100820090805
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.04882040425957739,0.0007035617034734827,0.17729754927531766,0.0018401792783071585,0.1461759487459864
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.009054412621739154,0.00047575797504833216,0.11989100971217971,4.043746553634244e-05,0.8295182110189219
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.023683558075848623,0.001070783787377701,0.2698375144191807,0.0004625436906623847,0.46642651975427474
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.026387719943843004,0.0008282940510691404,0.20873010086942337,0.0004859264752797316,0.4553703178741986
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.018133884083859245,0.0011218399941454692,0.2827036785246582,0.00017488886568129566,0.6542952865906952
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.004050271130006534,0.0005227456438928346,0.13173190226099432,1.322760788085046e-05,0.9019895024405024
149323,DSP Midcap Fund - Regular - Growth,-0.002523004664699247,0.0010554991088112318,0.26598577542043045,3.357978192008859e-06,0.9505247706268661
149324,DSP Small Cap Fund - Regular - Growth,0.011455159960520708,0.001192772943292729,0.3005787817097677,3.5329906267955625e-05,0.84049358918433
